"","H.G","Elec","P.A","Fashion"
"99",7018316.12796259,3710039.76746843,4116190.98538003,2896670.03075562
"100",10840773.2553978,5134402.76441957,5938943.21004238,4328509.38451349
"101",9400340.66656421,5392857.437778,6692720.69113453,3446052.41544863
"102",8699600.54970719,5169250.73960871,5959599.06829156,3304760.36351144
"103",8444674.86653887,5011807.76851104,5579164.81103958,3310289.2426516
"104",7836813.01248453,4676892.94961388,5030234.34613124,3229922.19028745
"105",6799927.90440029,4148141.75984916,4210419.68191296,2778766.9228931
"106",6507793.46223009,3475413.93267766,3660575.07051103,2676008.35137328
"107",10997352.4474266,4950073.10631009,5699364.51943413,4340737.18219803
"108",9401953.29357556,5109518.01917749,6333142.34206339,3410648.23913339
"109",8539265.5521191,4898393.06230828,5737762.64671936,3333219.11717501
"110",8439406.65192092,4871113.78113531,5510854.59821521,3328466.79076976
"111",7890440.69673456,4654425.49720936,4702209.78788633,3204765.99255703
"112",6827635.25295887,3962259.72066694,3910542.21861542,2836211.91884221
"113",7052547.79874565,3943234.81063058,3385716.38312,2933803.69798852
"114",12003307.2236086,5883370.6545229,5379648.06467214,4584161.69839428
"115",9470237.86767428,5381962.21293671,5859372.1008022,3449070.13092509
"116",8917201.54373589,5057247.57812856,5232456.46478691,3355768.16696553
"117",8667604.5277318,4953602.25438782,4950028.68483268,3370903.81233445
"118",7980890.38289813,4782937.16766172,4446104.01461869,3242570.54059257
"119",6816954.12784925,4088930.59303193,3732099.46436779,2762029.21327516
"120",6708863.24080539,4370289.61789156,3088785.10795884,2901081.7277026
"121",11433476.593549,5758570.50572072,4983347.67293828,4603589.75082282
"122",9788418.5826354,5444931.25300222,5483621.09840785,3551488.51912867
"123",9137127.94114528,5126648.51554727,5238636.38411648,3554739.15262466
"124",9189630.56676836,5472254.77550853,5168294.4972744,3715401.76839999
"125",9125487.18606387,6141750.40813573,5010128.37248459,4144388.13090126
"126",8758861.54863595,6998391.3758649,4289892.44310677,4005564.43423543
"127",8058002.76313404,5441805.52611604,3662625.85818378,3787856.39583259
"128",13548524.0319269,7686808.9185024,5597287.33113502,6000581.00184619
"129",11434817.37808,7204137.96671616,6173824.37933961,5128547.91880462
"130",10489888.0780618,6281216.5817206,5858044.56444187,4714033.22544904
"131",10030212.313684,6173498.9552148,5540077.99542683,4770289.04037534
"132",9097831.11605253,5984972.20235816,4723472.46970303,4474932.25065435
"133",7580142.85459422,5131844.09443217,3796513.90649404,3707248.5223611
"134",7705375.83817246,5579921.07697227,3235659.95442514,3853074.32296432
"135",13122594.8346043,7611793.08508788,5112672.01852978,6201647.35739701
"136",11144288.2488247,7026592.55659384,5808661.17230793,5053163.2746765
"137",10199939.8888756,6458958.96759915,5378128.62233043,4793066.69547885
"138",10078617.436513,6605118.77504226,5008962.44056045,4907928.49544824
"139",9486174.24513458,6576672.77174104,4519340.59532474,4720784.97995951
"140",8246581.81104827,5851766.32657201,3787520.6870685,4240972.8505847
"141",8047439.42806492,5995522.91314196,3237168.62236612,4156830.21486334
"142",13174899.4661575,8504899.68941028,5031545.75531796,6518439.01024057
"143",11455110.1841891,7809070.17441015,5605614.97324899,5608212.87441377
"144",10230167.5312433,7027758.80153134,4922711.31016283,5082647.12468885
"145",9378538.08720966,6839471.70692996,4462712.56002705,4862851.72570641
"146",7964862.82455888,6000135.36955825,3890458.71271177,4139229.68775762
"147",6230748.21749989,4739489.99977887,3098685.19140184,3325357.73301901
"148",5905187.35117554,4365580.02565181,2607580.50001502,3019884.37479299
"149",7957040.51838886,4811330.4991691,3340128.52990878,3956453.29750015
"150",5794264.19730138,4074659.25146267,3500750.75719293,2576521.41389331
